artist_rank,artist_id,artist_name,artist_popularity,artist_followers,artist_genre,artist_genre_others
1,4zCH9qm4R2DADamUHMCa6O,Anirudh Ravichander,85,16339229,desi hip hop,"filmi, tamil hip hop"
2,1mYsTxnqsietFxj1OgoGbG,A.R. Rahman,82,29731088,filmi,modern bollywood
3,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,92,19300478,chicago rap,rap
4,3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,84,25987832,pop,"r&b, soul"
5,6AiX12wXdXFoGJ2vk8zBjy,Yuvan Shankar Raja,79,8813352,filmi,"kollywood, tamil pop"
6,5FVBduYaeVBb6JIghza7v6,Santhosh Narayanan,71,1329884,filmi,tamil pop
7,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,98,58390607,canadian contemporary r&b,"canadian pop, pop"
8,29aw5YCdIw2FEXYyAJZI8l,Harris Jayaraj,74,5069102,filmi,tamil pop
9,2einniD11Dbvrwy5nWmn4p,Vishnu Vijay,57,108989,mollywood,
10,0EmeFodog0BfCgMzAIvKQp,Shakira,92,26976753,colombian pop,"dance pop, latin pop"
11,5VVN3xZw1i2qihfITZlvCZ,G. V. Prakash,73,5751054,filmi,tamil pop
12,0lMa3YTHqQnDDTBaxAV7LK,Ranveer Singh,53,505514,desi hip hop,"desi pop, filmi, hindi hip hop, modern bollywood"
13,7zFBW2JxM4bgTTKxCRcS8Q,Hiphop Tamizha,69,6542643,desi hip hop,"tamil hip hop, tamil pop"
14,2F3KtUVtrt2GLjcl6pB4cz,Dhanush,72,5748616,filmi,"kollywood, tamil pop"
15,4kq8z3vydHjPDggxb16ErB,Nakash Aziz,69,178130,desi pop,"filmi, modern bollywood"
16,3TVXtAsR1Inumwj472S9r4,Drake,98,71847543,canadian hip hop,"canadian pop, hip hop, rap, toronto rap"
17,3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,86,7972834,east coast hip hop,"hip hop, rap"
18,7dGJo4pcD2V6oG8kP0tJRR,Eminem,94,65889853,detroit hip hop,"hip hop, rap"
19,4VS3XraXs2LRsowQnQ7VFh,Lijo George,58,10069,,
20,2ae6PxICSOZHvjqiCcgon8,S. P. Balasubrahmanyam,78,6724782,filmi,
21,3TUNkjIHkcvEy9oeK2D4hU,Sean Roldan,59,327615,filmi,tamil pop
22,272ygo5fv9cYsiCLcV0HV2,Bill Conti,57,43278,classic soundtrack,theme
23,1SJOL9HJ08YOn92lFcYf8a,Shankar Mahadevan,76,6582079,filmi,modern bollywood
24,6KImCVD70vtIoJWnq6nGn3,Harry Styles,91,25987474,pop,
25,5sSzCxHtgL82pYDvx2QyEU,Devi Sri Prasad,73,6680843,filmi,tollywood
26,7qjJw7ZM2ekDSahLXPjIlN,Sid Sriram,79,10497172,filmi,
27,0rL4uL3xfYOt2p7NHhS8qr,Vishal Chandrashekhar,69,217692,tamil pop,tollywood
28,5iFKS1bnBNFWBAmd7mi0vf,Deepak Blue,61,37688,tamil pop,tollywood
29,0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,80,9184083,hip hop,"miami hip hop, pop rap, rap, southern hip hop, trap"
30,2NoJ7NuNs9nyj8Thoh1kbu,Hariharan,74,3732463,filmi,"ghazal, tamil pop"
31,47mIJdHORyRerp4os813jD,League of Legends,81,1564098,speedrun,video game music
32,1QvyquqkuuwUzdszyoKIy4,Haricharan,71,1789122,filmi,tamil pop
33,2FgHPfRprDaylrSRVf1UlN,Thaman S,76,5469685,filmi,"new beat, tamil pop"
34,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,91,21866206,rap,slap house
35,0spHbv2fw49lDMkbOAdaqX,WWE,66,458518,wrestling,
36,1wRPtKGflJrBx9BmLsSwlU,Pritam,88,11358797,filmi,"indian instrumental, modern bollywood"
37,3m49WVMU4zCkaVEKb8kFW7,Ilaiyaraaja,67,7133139,classic kollywood,"filmi, tamil pop"
38,42k1aOQmLqy5YQmqJ2zq8s,Shaan Rahman,62,660666,filmi,mollywood
39,4hBCDHUWTljP6BDl5AekgW,Vivek - Mervin,62,1141154,desi hip hop,tamil pop
40,6CtYzQvENTdGq5LPPsePdV,Vijay Antony,64,2709106,filmi,"kollywood, tamil pop"
41,73147xL7gw2ilXfbVPzTuw,Rammor,54,88870,,
42,3jw2v5ZbSWBinNaECXq8cJ,Ghibran,69,478599,filmi,tamil pop
