track_rank,track_id,track_name,artists,track_duration,track_is_explicit,track_popularity,album_id,album_name,album_release_year,album_type,artist_name,artist_name_others,artist_id,artist_id_others,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,artist_popularity,artist_followers,artist_genre,artist_genre_others
1,27nzJVsvXqXyeMIcVxvB54,Chola Chola,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4sdcjfLzvLC1IUYFwCAWHn'}, 'href': 'https://api.spotify.com/v1/artists/4sdcjfLzvLC1IUYFwCAWHn', 'id': '4sdcjfLzvLC1IUYFwCAWHn', 'name': 'Sathyaprakash', 'type': 'artist', 'uri': 'spotify:artist:4sdcjfLzvLC1IUYFwCAWHn'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3qjzGkAGKsCkJOieWWRz8k'}, 'href': 'https://api.spotify.com/v1/artists/3qjzGkAGKsCkJOieWWRz8k', 'id': '3qjzGkAGKsCkJOieWWRz8k', 'name': 'VM Mahalingam', 'type': 'artist', 'uri': 'spotify:artist:3qjzGkAGKsCkJOieWWRz8k'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/45dUPHFa2AoC4lqFTcPmiD'}, 'href': 'https://api.spotify.com/v1/artists/45dUPHFa2AoC4lqFTcPmiD', 'id': '45dUPHFa2AoC4lqFTcPmiD', 'name': 'Nakul Abhyankar', 'type': 'artist', 'uri': 'spotify:artist:45dUPHFa2AoC4lqFTcPmiD'}]",3.660633333333333,False,63,6efDS3Pp3DUkDnr5XgPyMN,Ponniyin Selvan Part-1 (Original Motion Picture Soundtrack),2022,album,Sathyaprakash,"VM Mahalingam, Nakul Abhyankar",4sdcjfLzvLC1IUYFwCAWHn,"3qjzGkAGKsCkJOieWWRz8k, 45dUPHFa2AoC4lqFTcPmiD",0.623,0.655,5,-9.998,0,0.203,0.304,0.0,0.18,0.749,62,129828,filmi,tamil pop
2,1n1IDjxVczGQoNg4GMl670,Ponni Nadhi,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1mYsTxnqsietFxj1OgoGbG'}, 'href': 'https://api.spotify.com/v1/artists/1mYsTxnqsietFxj1OgoGbG', 'id': '1mYsTxnqsietFxj1OgoGbG', 'name': 'A.R. Rahman', 'type': 'artist', 'uri': 'spotify:artist:1mYsTxnqsietFxj1OgoGbG'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/7svWIUSwHbHQUw2gK1PfNh'}, 'href': 'https://api.spotify.com/v1/artists/7svWIUSwHbHQUw2gK1PfNh', 'id': '7svWIUSwHbHQUw2gK1PfNh', 'name': 'A. R. Reihana', 'type': 'artist', 'uri': 'spotify:artist:7svWIUSwHbHQUw2gK1PfNh'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/005ppBcDhgC9mj7CgRmv1D'}, 'href': 'https://api.spotify.com/v1/artists/005ppBcDhgC9mj7CgRmv1D', 'id': '005ppBcDhgC9mj7CgRmv1D', 'name': 'Bamba Bakya', 'type': 'artist', 'uri': 'spotify:artist:005ppBcDhgC9mj7CgRmv1D'}]",4.8421,False,52,6efDS3Pp3DUkDnr5XgPyMN,Ponniyin Selvan Part-1 (Original Motion Picture Soundtrack),2022,album,A.R. Rahman,"A. R. Reihana, Bamba Bakya",1mYsTxnqsietFxj1OgoGbG,"7svWIUSwHbHQUw2gK1PfNh, 005ppBcDhgC9mj7CgRmv1D",0.687,0.633,8,-9.552,1,0.141,0.119,0.0,0.291,0.567,82,29731088,filmi,modern bollywood
6,1O5AqyUHm8vH8XGr173ugY,Devaralan Aattam,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1mYsTxnqsietFxj1OgoGbG'}, 'href': 'https://api.spotify.com/v1/artists/1mYsTxnqsietFxj1OgoGbG', 'id': '1mYsTxnqsietFxj1OgoGbG', 'name': 'A.R. Rahman', 'type': 'artist', 'uri': 'spotify:artist:1mYsTxnqsietFxj1OgoGbG'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4n32jWbOVtfNDsOJAGQJcs'}, 'href': 'https://api.spotify.com/v1/artists/4n32jWbOVtfNDsOJAGQJcs', 'id': '4n32jWbOVtfNDsOJAGQJcs', 'name': 'Yogi Sekar', 'type': 'artist', 'uri': 'spotify:artist:4n32jWbOVtfNDsOJAGQJcs'}]",4.5538,False,52,6efDS3Pp3DUkDnr5XgPyMN,Ponniyin Selvan Part-1 (Original Motion Picture Soundtrack),2022,album,A.R. Rahman,Yogi Sekar,1mYsTxnqsietFxj1OgoGbG,4n32jWbOVtfNDsOJAGQJcs,0.828,0.707,8,-9.517,1,0.362,0.303,0.0,0.0646,0.441,82,29731088,filmi,modern bollywood
10,5g1i02FYQMmVj4L17Gis1C,Sol,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1mYsTxnqsietFxj1OgoGbG'}, 'href': 'https://api.spotify.com/v1/artists/1mYsTxnqsietFxj1OgoGbG', 'id': '1mYsTxnqsietFxj1OgoGbG', 'name': 'A.R. Rahman', 'type': 'artist', 'uri': 'spotify:artist:1mYsTxnqsietFxj1OgoGbG'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/76Z6SMQPibr8qI24AhdvbJ'}, 'href': 'https://api.spotify.com/v1/artists/76Z6SMQPibr8qI24AhdvbJ', 'id': '76Z6SMQPibr8qI24AhdvbJ', 'name': 'Rakshita Suresh', 'type': 'artist', 'uri': 'spotify:artist:76Z6SMQPibr8qI24AhdvbJ'}]",2.2367333333333335,False,52,6efDS3Pp3DUkDnr5XgPyMN,Ponniyin Selvan Part-1 (Original Motion Picture Soundtrack),2022,album,A.R. Rahman,Rakshita Suresh,1mYsTxnqsietFxj1OgoGbG,76Z6SMQPibr8qI24AhdvbJ,0.697,0.271,0,-11.507,1,0.093,0.923,0.0,0.101,0.773,82,29731088,filmi,modern bollywood
12,7kcMEKsmqgfq68gSQk6F9c,Alaikadal,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1mYsTxnqsietFxj1OgoGbG'}, 'href': 'https://api.spotify.com/v1/artists/1mYsTxnqsietFxj1OgoGbG', 'id': '1mYsTxnqsietFxj1OgoGbG', 'name': 'A.R. Rahman', 'type': 'artist', 'uri': 'spotify:artist:1mYsTxnqsietFxj1OgoGbG'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5t0Sf8M5KByD2fIBiVKavT'}, 'href': 'https://api.spotify.com/v1/artists/5t0Sf8M5KByD2fIBiVKavT', 'id': '5t0Sf8M5KByD2fIBiVKavT', 'name': 'Antara Nandy', 'type': 'artist', 'uri': 'spotify:artist:5t0Sf8M5KByD2fIBiVKavT'}]",5.236783333333333,False,48,6efDS3Pp3DUkDnr5XgPyMN,Ponniyin Selvan Part-1 (Original Motion Picture Soundtrack),2022,album,A.R. Rahman,Antara Nandy,1mYsTxnqsietFxj1OgoGbG,5t0Sf8M5KByD2fIBiVKavT,0.441,0.308,11,-10.107,0,0.0407,0.958,0.000231,0.0638,0.292,82,29731088,filmi,modern bollywood
22,1uJ2czshFLqimctgvsxfv2,"Ponni Nadhi (From ""Ponniyin Selvan Part -1"") - Tamil","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1mYsTxnqsietFxj1OgoGbG'}, 'href': 'https://api.spotify.com/v1/artists/1mYsTxnqsietFxj1OgoGbG', 'id': '1mYsTxnqsietFxj1OgoGbG', 'name': 'A.R. Rahman', 'type': 'artist', 'uri': 'spotify:artist:1mYsTxnqsietFxj1OgoGbG'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/7svWIUSwHbHQUw2gK1PfNh'}, 'href': 'https://api.spotify.com/v1/artists/7svWIUSwHbHQUw2gK1PfNh', 'id': '7svWIUSwHbHQUw2gK1PfNh', 'name': 'A. R. Reihana', 'type': 'artist', 'uri': 'spotify:artist:7svWIUSwHbHQUw2gK1PfNh'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/005ppBcDhgC9mj7CgRmv1D'}, 'href': 'https://api.spotify.com/v1/artists/005ppBcDhgC9mj7CgRmv1D', 'id': '005ppBcDhgC9mj7CgRmv1D', 'name': 'Bamba Bakya', 'type': 'artist', 'uri': 'spotify:artist:005ppBcDhgC9mj7CgRmv1D'}]",4.8421,False,65,6uoefjrPMaieH3pKqBYDeM,"Ponni Nadhi (From ""Ponniyin Selvan Part -1"") [Original Motion Picture Soundtrack]",2022,album,A.R. Rahman,"A. R. Reihana, Bamba Bakya",1mYsTxnqsietFxj1OgoGbG,"7svWIUSwHbHQUw2gK1PfNh, 005ppBcDhgC9mj7CgRmv1D",0.687,0.637,10,-9.55,0,0.13,0.12,0.0,0.291,0.56,82,29731088,filmi,modern bollywood
29,3i7qScF9Oyp31O9bAutJez,Mallipoo,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1mYsTxnqsietFxj1OgoGbG'}, 'href': 'https://api.spotify.com/v1/artists/1mYsTxnqsietFxj1OgoGbG', 'id': '1mYsTxnqsietFxj1OgoGbG', 'name': 'A.R. Rahman', 'type': 'artist', 'uri': 'spotify:artist:1mYsTxnqsietFxj1OgoGbG'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1EKK9k0IAwV1oeJfZITSYo'}, 'href': 'https://api.spotify.com/v1/artists/1EKK9k0IAwV1oeJfZITSYo', 'id': '1EKK9k0IAwV1oeJfZITSYo', 'name': 'Madhushree', 'type': 'artist', 'uri': 'spotify:artist:1EKK9k0IAwV1oeJfZITSYo'}]",4.089416666666667,False,70,6ID1od4fd4L19s7ZjoCeW4,Vendhu Thanindhathu Kaadu (Original Motion Picture Soundtrack),2022,album,A.R. Rahman,Madhushree,1mYsTxnqsietFxj1OgoGbG,1EKK9k0IAwV1oeJfZITSYo,0.715,0.654,2,-7.266,1,0.336,0.196,0.000117,0.0667,0.762,82,29731088,filmi,modern bollywood
32,57IXQJZFawJUwC2PCKn56Y,"Chola Chola (From ""Ponniyin Selvan Part -1"")","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1mYsTxnqsietFxj1OgoGbG'}, 'href': 'https://api.spotify.com/v1/artists/1mYsTxnqsietFxj1OgoGbG', 'id': '1mYsTxnqsietFxj1OgoGbG', 'name': 'A.R. Rahman', 'type': 'artist', 'uri': 'spotify:artist:1mYsTxnqsietFxj1OgoGbG'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4sdcjfLzvLC1IUYFwCAWHn'}, 'href': 'https://api.spotify.com/v1/artists/4sdcjfLzvLC1IUYFwCAWHn', 'id': '4sdcjfLzvLC1IUYFwCAWHn', 'name': 'Sathyaprakash', 'type': 'artist', 'uri': 'spotify:artist:4sdcjfLzvLC1IUYFwCAWHn'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3qjzGkAGKsCkJOieWWRz8k'}, 'href': 'https://api.spotify.com/v1/artists/3qjzGkAGKsCkJOieWWRz8k', 'id': '3qjzGkAGKsCkJOieWWRz8k', 'name': 'VM Mahalingam', 'type': 'artist', 'uri': 'spotify:artist:3qjzGkAGKsCkJOieWWRz8k'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/45dUPHFa2AoC4lqFTcPmiD'}, 'href': 'https://api.spotify.com/v1/artists/45dUPHFa2AoC4lqFTcPmiD', 'id': '45dUPHFa2AoC4lqFTcPmiD', 'name': 'Nakul Abhyankar', 'type': 'artist', 'uri': 'spotify:artist:45dUPHFa2AoC4lqFTcPmiD'}]",3.660633333333333,False,55,5uCYqYEE1chVUqhmYhwUhP,"Chola Chola (From ""Ponniyin Selvan Part -1"") [Original Motion Picture Soundtrack]",2022,album,A.R. Rahman,"Sathyaprakash, VM Mahalingam, Nakul Abhyankar",1mYsTxnqsietFxj1OgoGbG,"4sdcjfLzvLC1IUYFwCAWHn, 3qjzGkAGKsCkJOieWWRz8k, 45dUPHFa2AoC4lqFTcPmiD",0.76,0.651,5,-9.997,0,0.173,0.308,0.0,0.177,0.714,82,29731088,filmi,modern bollywood
3,7e6J0HgooHYVi4SwdOB2OM,Eyy Bidda Idhi Naa Adda,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4kq8z3vydHjPDggxb16ErB'}, 'href': 'https://api.spotify.com/v1/artists/4kq8z3vydHjPDggxb16ErB', 'id': '4kq8z3vydHjPDggxb16ErB', 'name': 'Nakash Aziz', 'type': 'artist', 'uri': 'spotify:artist:4kq8z3vydHjPDggxb16ErB'}]",3.934283333333333,False,55,5zbEyyUitcIooNso1k3wZO,Pushpa - The Rise,2021,album,Nakash Aziz,,4kq8z3vydHjPDggxb16ErB,,0.728,0.861,0,-5.852,1,0.165,0.2,0.00106,0.0256,0.662,69,178130,desi pop,"filmi, modern bollywood"
4,26aOnndLckt8uAsk6odL5n,Ratchasa Maamaney,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0oOet2f43PA68X5RxKobEy'}, 'href': 'https://api.spotify.com/v1/artists/0oOet2f43PA68X5RxKobEy', 'id': '0oOet2f43PA68X5RxKobEy', 'name': 'Shreya Ghoshal', 'type': 'artist', 'uri': 'spotify:artist:0oOet2f43PA68X5RxKobEy'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4kFcACv63ngx7w0d5HGeMR'}, 'href': 'https://api.spotify.com/v1/artists/4kFcACv63ngx7w0d5HGeMR', 'id': '4kFcACv63ngx7w0d5HGeMR', 'name': 'Palakad Sreeram', 'type': 'artist', 'uri': 'spotify:artist:4kFcACv63ngx7w0d5HGeMR'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3dLyuHSyFYR1OeWA67LBUC'}, 'href': 'https://api.spotify.com/v1/artists/3dLyuHSyFYR1OeWA67LBUC', 'id': '3dLyuHSyFYR1OeWA67LBUC', 'name': 'Mahesh Vinayakram', 'type': 'artist', 'uri': 'spotify:artist:3dLyuHSyFYR1OeWA67LBUC'}]",4.832366666666666,False,58,6efDS3Pp3DUkDnr5XgPyMN,Ponniyin Selvan Part-1 (Original Motion Picture Soundtrack),2022,album,Shreya Ghoshal,"Palakad Sreeram, Mahesh Vinayakram",0oOet2f43PA68X5RxKobEy,"4kFcACv63ngx7w0d5HGeMR, 3dLyuHSyFYR1OeWA67LBUC",0.546,0.786,4,-9.486,1,0.212,0.349,1.35e-06,0.109,0.434,82,16046340,desi pop,"filmi, modern bollywood"
