track_rank,track_id,track_name,artists,track_duration,track_is_explicit,track_popularity,album_id,album_name,album_release_year,album_type,artist_name,artist_name_others,artist_id,artist_id_others,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,artist_popularity,artist_followers,artist_genre,artist_genre_others,playlist_id
1.0,1DUaZdBqnc18ja3DY6h0dS,"Namma Satham (From ""Pathu Thala"")","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1mYsTxnqsietFxj1OgoGbG'}, 'href': 'https://api.spotify.com/v1/artists/1mYsTxnqsietFxj1OgoGbG', 'id': '1mYsTxnqsietFxj1OgoGbG', 'name': 'A.R. Rahman', 'type': 'artist', 'uri': 'spotify:artist:1mYsTxnqsietFxj1OgoGbG'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4n32jWbOVtfNDsOJAGQJcs'}, 'href': 'https://api.spotify.com/v1/artists/4n32jWbOVtfNDsOJAGQJcs', 'id': '4n32jWbOVtfNDsOJAGQJcs', 'name': 'Yogi Sekar', 'type': 'artist', 'uri': 'spotify:artist:4n32jWbOVtfNDsOJAGQJcs'}]",3.591483333333333,False,58.0,4LgQVd0XGV8AKiszUTsBSa,"Namma Satham (From ""Pathu Thala"")",2023.0,album,A.R. Rahman,Yogi Sekar,1mYsTxnqsietFxj1OgoGbG,4n32jWbOVtfNDsOJAGQJcs,0.886,0.485,7.0,-8.051,1.0,0.283,0.128,0.000951,0.0637,0.342,82.0,29731088.0,filmi,modern bollywood,37i9dQZF1DX7vl8XKmpwdM
18.0,57IXQJZFawJUwC2PCKn56Y,"Chola Chola (From ""Ponniyin Selvan Part -1"")","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1mYsTxnqsietFxj1OgoGbG'}, 'href': 'https://api.spotify.com/v1/artists/1mYsTxnqsietFxj1OgoGbG', 'id': '1mYsTxnqsietFxj1OgoGbG', 'name': 'A.R. Rahman', 'type': 'artist', 'uri': 'spotify:artist:1mYsTxnqsietFxj1OgoGbG'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4sdcjfLzvLC1IUYFwCAWHn'}, 'href': 'https://api.spotify.com/v1/artists/4sdcjfLzvLC1IUYFwCAWHn', 'id': '4sdcjfLzvLC1IUYFwCAWHn', 'name': 'Sathyaprakash', 'type': 'artist', 'uri': 'spotify:artist:4sdcjfLzvLC1IUYFwCAWHn'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3qjzGkAGKsCkJOieWWRz8k'}, 'href': 'https://api.spotify.com/v1/artists/3qjzGkAGKsCkJOieWWRz8k', 'id': '3qjzGkAGKsCkJOieWWRz8k', 'name': 'VM Mahalingam', 'type': 'artist', 'uri': 'spotify:artist:3qjzGkAGKsCkJOieWWRz8k'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/45dUPHFa2AoC4lqFTcPmiD'}, 'href': 'https://api.spotify.com/v1/artists/45dUPHFa2AoC4lqFTcPmiD', 'id': '45dUPHFa2AoC4lqFTcPmiD', 'name': 'Nakul Abhyankar', 'type': 'artist', 'uri': 'spotify:artist:45dUPHFa2AoC4lqFTcPmiD'}]",3.660633333333333,False,55.0,5uCYqYEE1chVUqhmYhwUhP,"Chola Chola (From ""Ponniyin Selvan Part -1"") [Original Motion Picture Soundtrack]",2022.0,album,A.R. Rahman,"Sathyaprakash, VM Mahalingam, Nakul Abhyankar",1mYsTxnqsietFxj1OgoGbG,"4sdcjfLzvLC1IUYFwCAWHn, 3qjzGkAGKsCkJOieWWRz8k, 45dUPHFa2AoC4lqFTcPmiD",0.76,0.651,5.0,-9.997,0.0,0.173,0.308,0.0,0.177,0.714,82.0,29731088.0,filmi,modern bollywood,37i9dQZF1DX7vl8XKmpwdM
33.0,4381FmKZc1uT2zzhBiknH7,"Adheeraa (From ""Cobra"")","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1mYsTxnqsietFxj1OgoGbG'}, 'href': 'https://api.spotify.com/v1/artists/1mYsTxnqsietFxj1OgoGbG', 'id': '1mYsTxnqsietFxj1OgoGbG', 'name': 'A.R. Rahman', 'type': 'artist', 'uri': 'spotify:artist:1mYsTxnqsietFxj1OgoGbG'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2HrVY7Ev6LS8I38EfJvMtV'}, 'href': 'https://api.spotify.com/v1/artists/2HrVY7Ev6LS8I38EfJvMtV', 'id': '2HrVY7Ev6LS8I38EfJvMtV', 'name': 'Vagu Mazan', 'type': 'artist', 'uri': 'spotify:artist:2HrVY7Ev6LS8I38EfJvMtV'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6UZh26X3rn1LVK5lLn4FoG'}, 'href': 'https://api.spotify.com/v1/artists/6UZh26X3rn1LVK5lLn4FoG', 'id': '6UZh26X3rn1LVK5lLn4FoG', 'name': 'Thoughtsfornow', 'type': 'artist', 'uri': 'spotify:artist:6UZh26X3rn1LVK5lLn4FoG'}]",4.318983333333334,False,62.0,61DkChDkz3MoWGypHYVdCP,"Adheeraa (From ""Cobra"")",2022.0,album,A.R. Rahman,"Vagu Mazan, Thoughtsfornow",1mYsTxnqsietFxj1OgoGbG,"2HrVY7Ev6LS8I38EfJvMtV, 6UZh26X3rn1LVK5lLn4FoG",0.722,0.859,6.0,-8.143,0.0,0.039,0.11,7.39e-05,0.0929,0.562,82.0,29731088.0,filmi,modern bollywood,37i9dQZF1DX7vl8XKmpwdM
2.0,1LbBOhicFmu7ktJqIHCELt,"Ranjithame (From ""Varisu"")","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0fhunuOz2OuOEr3YK5ctSm'}, 'href': 'https://api.spotify.com/v1/artists/0fhunuOz2OuOEr3YK5ctSm', 'id': '0fhunuOz2OuOEr3YK5ctSm', 'name': 'Thalapathy Vijay', 'type': 'artist', 'uri': 'spotify:artist:0fhunuOz2OuOEr3YK5ctSm'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3JGrxsZ6kfzJrfwsxwERhS'}, 'href': 'https://api.spotify.com/v1/artists/3JGrxsZ6kfzJrfwsxwERhS', 'id': '3JGrxsZ6kfzJrfwsxwERhS', 'name': 'M.M.Manasi', 'type': 'artist', 'uri': 'spotify:artist:3JGrxsZ6kfzJrfwsxwERhS'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2FgHPfRprDaylrSRVf1UlN'}, 'href': 'https://api.spotify.com/v1/artists/2FgHPfRprDaylrSRVf1UlN', 'id': '2FgHPfRprDaylrSRVf1UlN', 'name': 'Thaman S', 'type': 'artist', 'uri': 'spotify:artist:2FgHPfRprDaylrSRVf1UlN'}]",4.784666666666666,False,76.0,6tspDejx5wSiwaF9ujyT7W,"Ranjithame (From ""Varisu"")",2022.0,album,Thalapathy Vijay,"M.M.Manasi, Thaman S",0fhunuOz2OuOEr3YK5ctSm,"3JGrxsZ6kfzJrfwsxwERhS, 2FgHPfRprDaylrSRVf1UlN",0.545,0.98,9.0,-6.464,1.0,0.129,0.666,0.00709,0.0788,0.658,66.0,200279.0,tamil pop,,37i9dQZF1DX7vl8XKmpwdM
28.0,6lpbzOMBOYHRsp6WEMvRvn,"Jolly O Gymkhana (From ""Beast"")","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0fhunuOz2OuOEr3YK5ctSm'}, 'href': 'https://api.spotify.com/v1/artists/0fhunuOz2OuOEr3YK5ctSm', 'id': '0fhunuOz2OuOEr3YK5ctSm', 'name': 'Thalapathy Vijay', 'type': 'artist', 'uri': 'spotify:artist:0fhunuOz2OuOEr3YK5ctSm'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O'}, 'href': 'https://api.spotify.com/v1/artists/4zCH9qm4R2DADamUHMCa6O', 'id': '4zCH9qm4R2DADamUHMCa6O', 'name': 'Anirudh Ravichander', 'type': 'artist', 'uri': 'spotify:artist:4zCH9qm4R2DADamUHMCa6O'}]",3.4677333333333333,False,61.0,2mtWpU8LaaIDWGA3dtGEUC,"Jolly O Gymkhana (From ""Beast"")",2022.0,album,Thalapathy Vijay,Anirudh Ravichander,0fhunuOz2OuOEr3YK5ctSm,4zCH9qm4R2DADamUHMCa6O,0.652,0.653,2.0,-10.263,1.0,0.213,0.0358,0.0,0.081,0.776,66.0,200279.0,tamil pop,,37i9dQZF1DX7vl8XKmpwdM
3.0,7H7ktpLPBvpJ0A2pwUy4hB,"Chilla Chilla (From ""Thunivu"")","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3jw2v5ZbSWBinNaECXq8cJ'}, 'href': 'https://api.spotify.com/v1/artists/3jw2v5ZbSWBinNaECXq8cJ', 'id': '3jw2v5ZbSWBinNaECXq8cJ', 'name': 'Ghibran', 'type': 'artist', 'uri': 'spotify:artist:3jw2v5ZbSWBinNaECXq8cJ'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O'}, 'href': 'https://api.spotify.com/v1/artists/4zCH9qm4R2DADamUHMCa6O', 'id': '4zCH9qm4R2DADamUHMCa6O', 'name': 'Anirudh Ravichander', 'type': 'artist', 'uri': 'spotify:artist:4zCH9qm4R2DADamUHMCa6O'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/61ARIGyeQjBmULCy2ckSTp'}, 'href': 'https://api.spotify.com/v1/artists/61ARIGyeQjBmULCy2ckSTp', 'id': '61ARIGyeQjBmULCy2ckSTp', 'name': 'vaisagh', 'type': 'artist', 'uri': 'spotify:artist:61ARIGyeQjBmULCy2ckSTp'}]",3.7037,False,73.0,5hZOtTKT6VNJRgTDE28Hje,"Chilla Chilla (From ""Thunivu"")",2022.0,album,Ghibran,"Anirudh Ravichander, vaisagh",3jw2v5ZbSWBinNaECXq8cJ,"4zCH9qm4R2DADamUHMCa6O, 61ARIGyeQjBmULCy2ckSTp",0.609,0.865,7.0,-6.335,1.0,0.277,0.00538,0.0,0.309,0.514,69.0,478599.0,filmi,tamil pop,37i9dQZF1DX7vl8XKmpwdM
7.0,1DmCs9mXUP9wnaTQcsT5aH,"Kasethan Kadavulada (From ""Thunivu"")","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3jw2v5ZbSWBinNaECXq8cJ'}, 'href': 'https://api.spotify.com/v1/artists/3jw2v5ZbSWBinNaECXq8cJ', 'id': '3jw2v5ZbSWBinNaECXq8cJ', 'name': 'Ghibran', 'type': 'artist', 'uri': 'spotify:artist:3jw2v5ZbSWBinNaECXq8cJ'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4IXYF3FJmeKQFqT7pAjf3h'}, 'href': 'https://api.spotify.com/v1/artists/4IXYF3FJmeKQFqT7pAjf3h', 'id': '4IXYF3FJmeKQFqT7pAjf3h', 'name': 'Manju Warrier', 'type': 'artist', 'uri': 'spotify:artist:4IXYF3FJmeKQFqT7pAjf3h'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/61ARIGyeQjBmULCy2ckSTp'}, 'href': 'https://api.spotify.com/v1/artists/61ARIGyeQjBmULCy2ckSTp', 'id': '61ARIGyeQjBmULCy2ckSTp', 'name': 'vaisagh', 'type': 'artist', 'uri': 'spotify:artist:61ARIGyeQjBmULCy2ckSTp'}]",3.1342,False,69.0,4wbatnzqMwHfR7SOGzkJyi,"Kasethan Kadavulada (From ""Thunivu"")",2022.0,album,Ghibran,"Manju Warrier, vaisagh",3jw2v5ZbSWBinNaECXq8cJ,"4IXYF3FJmeKQFqT7pAjf3h, 61ARIGyeQjBmULCy2ckSTp",0.747,0.841,11.0,-5.981,0.0,0.107,0.0377,3.16e-06,0.163,0.332,69.0,478599.0,filmi,tamil pop,37i9dQZF1DX7vl8XKmpwdM
4.0,1pean7zvZUqcWZaUucH63f,"Thaai Kelavi (From ""Thiruchitrambalam"")","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2F3KtUVtrt2GLjcl6pB4cz'}, 'href': 'https://api.spotify.com/v1/artists/2F3KtUVtrt2GLjcl6pB4cz', 'id': '2F3KtUVtrt2GLjcl6pB4cz', 'name': 'Dhanush', 'type': 'artist', 'uri': 'spotify:artist:2F3KtUVtrt2GLjcl6pB4cz'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O'}, 'href': 'https://api.spotify.com/v1/artists/4zCH9qm4R2DADamUHMCa6O', 'id': '4zCH9qm4R2DADamUHMCa6O', 'name': 'Anirudh Ravichander', 'type': 'artist', 'uri': 'spotify:artist:4zCH9qm4R2DADamUHMCa6O'}]",4.31515,False,66.0,4jFrwveExsKoWw4uxDu8kz,"Thaai Kelavi (From ""Thiruchitrambalam"")",2022.0,album,Dhanush,Anirudh Ravichander,2F3KtUVtrt2GLjcl6pB4cz,4zCH9qm4R2DADamUHMCa6O,0.661,0.92,9.0,-3.469,0.0,0.188,0.0352,1.4e-05,0.314,0.494,72.0,5748616.0,filmi,"kollywood, tamil pop",37i9dQZF1DX7vl8XKmpwdM
5.0,2Vf4t6mDApwQuWk9MAcZYM,Naadodi Mannan,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5VVN3xZw1i2qihfITZlvCZ'}, 'href': 'https://api.spotify.com/v1/artists/5VVN3xZw1i2qihfITZlvCZ', 'id': '5VVN3xZw1i2qihfITZlvCZ', 'name': 'G. V. Prakash', 'type': 'artist', 'uri': 'spotify:artist:5VVN3xZw1i2qihfITZlvCZ'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1lDx24tVvy8JVKOVjnlJfv'}, 'href': 'https://api.spotify.com/v1/artists/1lDx24tVvy8JVKOVjnlJfv', 'id': '1lDx24tVvy8JVKOVjnlJfv', 'name': 'Anthony Daasan', 'type': 'artist', 'uri': 'spotify:artist:1lDx24tVvy8JVKOVjnlJfv'}]",3.3983333333333334,False,59.0,788JAnrm2ALh2sMjTT7BuZ,Vaathi,2023.0,album,G. V. Prakash,Anthony Daasan,5VVN3xZw1i2qihfITZlvCZ,1lDx24tVvy8JVKOVjnlJfv,0.499,0.494,7.0,-12.782,0.0,0.057,0.0537,0.0,0.101,0.554,73.0,5751054.0,filmi,tamil pop,37i9dQZF1DX7vl8XKmpwdM
6.0,3Feda69zjFHpUaJtJskq7N,"Celebration Of Varisu (From ""Varisu"")","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2FgHPfRprDaylrSRVf1UlN'}, 'href': 'https://api.spotify.com/v1/artists/2FgHPfRprDaylrSRVf1UlN', 'id': '2FgHPfRprDaylrSRVf1UlN', 'name': 'Thaman S', 'type': 'artist', 'uri': 'spotify:artist:2FgHPfRprDaylrSRVf1UlN'}]",2.80255,False,64.0,3ef08KVjQfE97k9qFvybCh,"Celebration Of Varisu (From ""Varisu"")",2023.0,album,Thaman S,,2FgHPfRprDaylrSRVf1UlN,,0.679,0.918,8.0,-7.967,1.0,0.165,0.724,0.974,0.085,0.446,76.0,5469685.0,filmi,"new beat, tamil pop",37i9dQZF1DX7vl8XKmpwdM
